time,snr,rssi,sf,tx_power,distance_m
2026-02-13T23:41:14.671531,-20.8,-132.8,12,2,100
2026-02-13T23:41:29.360153,-4.5,-116.6,12,2,100
2026-02-13T23:41:44.025819,-4.5,-116.6,12,2,100
2026-02-13T23:41:58.158019,0.3,-111.8,11,17,100
2026-02-13T23:42:13.339212,-2.3,-114.3,11,2,100
2026-02-13T23:42:28.023059,-0.0,-112.1,11,2,100
2026-02-13T23:42:42.670767,0.2,-111.8,10,17,100
2026-02-13T23:42:57.329387,1.3,-110.7,10,2,100
2026-02-13T23:43:27.204927,-2.8,-114.9,10,2,100
2026-02-13T23:43:41.853400,-4.9,-116.9,9,17,100
2026-02-13T23:43:56.530478,-5.0,-117.0,9,5,100
2026-02-13T23:44:11.740760,-0.5,-112.5,9,2,100
2026-02-13T23:44:26.383472,-0.7,-112.7,9,2,100
2026-02-13T23:45:10.931045,-8.9,-121.0,8,17,250
2026-02-13T23:45:25.607435,-9.5,-121.5,8,9,250
2026-02-13T23:45:40.806390,-2.9,-114.9,8,9,250
2026-02-13T23:45:55.477395,-6.7,-118.8,8,2,250
2026-02-13T23:46:55.222437,-7.6,-119.6,8,2,250
2026-02-13T23:48:00.740941,-11.8,-123.8,12,17,400
2026-02-13T23:48:30.610729,-21.9,-133.9,12,5,400
2026-02-13T23:48:45.281822,-16.8,-128.8,12,2,400
2026-02-13T23:48:59.940757,-14.4,-126.5,12,2,400
2026-02-13T23:49:29.794666,-10.2,-122.2,12,17,400
2026-02-13T23:49:44.958152,-16.5,-128.5,12,5,400
2026-02-13T23:49:59.639815,-25.6,-137.7,12,2,400
2026-02-13T23:50:14.325328,-17.1,-129.1,12,2,400
2026-02-13T23:50:29.530644,-18.0,-130.0,12,2,400
2026-02-13T23:50:59.385746,-14.7,-126.7,12,2,400
2026-02-13T23:51:28.224669,-9.3,-121.3,11,17,400
2026-02-13T23:51:42.906807,-10.8,-122.9,11,5,400
2026-02-13T23:52:27.974461,-21.3,-133.4,11,5,400
2026-02-13T23:52:57.343877,-21.3,-133.3,11,3,400
2026-02-13T23:53:58.164051,-19.3,-131.3,12,2,400
2026-02-13T23:54:28.025791,-22.8,-134.9,12,2,400
2026-02-13T23:55:27.770553,-23.6,-135.6,12,2,400
2026-02-13T23:55:56.587867,-19.7,-131.8,11,17,400
